chr	center	observed_log	atac_pred_log	true_residual	class	K562seq_to_GM_residual	K562mm_to_GM_residual	K562resSeq_to_GM_residual	K562resMM_to_GM_residual
chr7	98131969	1.3862944	3.636157	-2.2498627	accessible_not_acetylated	-1.3024497	1.2955279	-0.005722046	0.106833935
chr10	80144672	1.0986123	3.3472629	-2.2486506	accessible_not_acetylated	-1.394306	-0.23606563	-0.7850888	-1.1210899
chr10	133424617	0.0	2.2481604	-2.2481604	accessible_not_acetylated	-0.5316496	-1.428666	-1.1875354	-1.6939789
chr6	24360020	1.0986123	3.346723	-2.2481108	accessible_not_acetylated	0.28620172	0.59191895	-0.30108643	0.31568623
chr6	89118081	0.0	2.247724	-2.247724	accessible_not_acetylated	1.1670439	-0.97605205	-1.0985184	-1.1064587
chr17	32275260	0.0	2.247722	-2.247722	accessible_not_acetylated	1.3593922	0.04806137	0.5281422	0.22461843
chr6	126461259	0.0	2.2472777	-2.2472777	accessible_not_acetylated	0.6038194	0.80787516	0.18410921	0.57659984
chr21	16419202	0.0	2.247179	-2.247179	accessible_not_acetylated	0.4912064	0.20514822	-0.051951647	-0.11450076
chr6	39725211	2.0794415	4.326293	-2.2468514	accessible_not_acetylated	0.6461315	0.42446804	0.0047459602	0.031847477
chr17	50198432	0.0	2.2465858	-2.2465858	accessible_not_acetylated	-0.46516943	0.5237546	0.07415223	0.29696465
chr7	151167548	0.0	2.2445295	-2.2445295	accessible_not_acetylated	0.7780893	-1.5702155	-1.4321753	-1.6176937
chr12	24360867	1.0986123	3.3430655	-2.2444532	accessible_not_acetylated	-1.0884492	1.2460883	0.12742376	0.26989603
chr6	53441264	2.0794415	4.3230186	-2.243577	accessible_not_acetylated	-1.4311254	0.91536856	0.17689037	0.29161835
chr7	12322470	0.0	2.2431624	-2.2431624	accessible_not_acetylated	0.0057373047	0.32639623	-0.16968489	0.011981249
chr17	74862392	0.0	2.2417743	-2.2417743	accessible_not_acetylated	0.20357919	-0.20885062	-0.71058977	-0.54318714
chr21	44107326	0.0	2.2410126	-2.2410126	accessible_not_acetylated	2.5570226	1.2790604	-0.16606593	-0.24525201
chr18	4428952	0.6931472	2.9338887	-2.2407415	accessible_not_acetylated	-0.9230304	0.7502835	-0.06315708	0.06145835
chr18	42190857	1.0986123	3.3392534	-2.240641	accessible_not_acetylated	-2.203257	0.20471883	-0.28601074	-0.1043365
chr12	23949790	1.0986123	3.339107	-2.2404947	accessible_not_acetylated	-1.3339856	0.3450861	-0.19657254	-0.11254597
chr17	48597821	1.3862944	3.6262224	-2.239928	accessible_not_acetylated	0.3514619	-0.044252157	-0.2915318	-0.48663855
chr17	57941642	1.0986123	3.338401	-2.2397888	accessible_not_acetylated	-0.52099943	0.78405833	0.3644638	0.48419833
chr6	131510328	0.6931472	2.9321342	-2.238987	accessible_not_acetylated	-0.45012164	0.68305993	-0.118428946	0.2653339
chr6	17987623	1.0986123	3.3369913	-2.238379	accessible_not_acetylated	-0.44951034	-0.37024617	-0.7483375	-0.45417452
chr7	141190745	0.0	2.2380948	-2.2380948	accessible_not_acetylated	-0.20513415	0.14895868	-0.102421045	0.033573627
chr18	4453660	1.9459102	4.1835394	-2.2376292	accessible_not_acetylated	-1.3508291	0.33767223	-0.28800106	0.19170427
chr7	82367283	1.0986123	3.336061	-2.2374487	accessible_not_acetylated	-1.2420585	0.72798634	-0.09861946	0.07318711
chr12	6821796	0.0	2.2369742	-2.2369742	accessible_not_acetylated	-0.01820159	-0.38044786	-0.50732446	-0.59998035
chr20	7231535	0.0	2.2356184	-2.2356184	accessible_not_acetylated	-0.7391964	1.090378	0.045584917	0.40500498
chr12	57851173	0.0	2.235358	-2.235358	accessible_not_acetylated	0.11249399	0.29859424	-0.046544313	-0.07778883
chr12	40377055	0.0	2.235337	-2.235337	accessible_not_acetylated	0.522933	0.40580344	0.27552652	0.07108593
chr12	119989367	2.3978953	4.632791	-2.2348957	accessible_not_acetylated	-1.894654	-0.7718158	-1.0749841	-0.34530115
chr8	97775655	0.6931472	2.9280064	-2.2348592	accessible_not_acetylated	0.93036366	-0.5673108	-0.20654011	-1.0033051
chr17	2025345	0.0	2.234559	-2.234559	accessible_not_acetylated	-0.94492424	-1.738874	-1.6083173	-1.8133112
chr22	29475774	0.0	2.2345524	-2.2345524	accessible_not_acetylated	0.1780119	0.18882036	0.0061690807	-0.2618698
chr22	46538835	0.6931472	2.927559	-2.2344117	accessible_not_acetylated	0.9428396	-0.7079711	-0.32807446	-0.8579545
chr8	74321361	0.0	2.2337222	-2.2337222	accessible_not_acetylated	0.40646434	-0.83730483	-0.75624835	-1.0544417
chr6	144248657	0.6931472	2.926022	-2.2328749	accessible_not_acetylated	-0.5127623	0.67417765	0.04019475	0.34066582
chr8	120125107	0.0	2.232329	-2.232329	accessible_not_acetylated	1.1056039	-0.6718507	-0.17501378	-0.32109845
chr10	76033677	0.0	2.231573	-2.231573	accessible_not_acetylated	0.23290324	-0.015721798	0.15677881	0.001101017
chr12	15776399	0.6931472	2.9242082	-2.231061	accessible_not_acetylated	0.033673048	0.42009974	0.10373402	0.10604191
chr17	17496204	1.609438	3.8394082	-2.2299702	accessible_not_acetylated	-0.99754834	-0.60849595	-0.7967651	-0.9856949
chr6	157461821	3.295837	5.525761	-2.2299242	accessible_not_acetylated	-2.8718994	0.28836727	0.026058197	0.19155788
chr12	7638859	0.6931472	2.9220607	-2.2289135	accessible_not_acetylated	-0.1818986	0.10985589	0.09190059	-0.49111223
chr7	73324315	0.0	2.2286406	-2.2286406	accessible_not_acetylated	-0.4686582	-0.44795144	-0.5699954	-0.94044054
chr8	110060432	0.0	2.2275443	-2.2275443	accessible_not_acetylated	0.65956426	1.2271659	0.19243145	-0.030721903
chr7	26180007	0.6931472	2.9205709	-2.2274237	accessible_not_acetylated	0.08344841	0.9340272	-0.08572936	0.32104683
chr17	42423310	0.0	2.2273781	-2.2273781	accessible_not_acetylated	1.5552008	-0.81688166	-0.715248	-1.2557081
chr6	28790868	0.0	2.226521	-2.226521	accessible_not_acetylated	0.7788813	0.38852835	0.07145524	0.18392086
chr17	62965837	0.6931472	2.9182935	-2.2251463	accessible_not_acetylated	0.7590637	-0.013586998	0.07581639	-0.02590561
chr10	80143895	0.6931472	2.9179628	-2.2248156	accessible_not_acetylated	-0.723305	-0.34467244	-0.6960981	-0.79673743
chr12	76879048	2.3978953	4.6221695	-2.2242742	accessible_not_acetylated	-0.95419216	-0.05102682	-0.90869737	-0.7397673
chr12	40105951	2.0794415	4.303656	-2.2242146	accessible_not_acetylated	-1.1275666	-0.24420452	-0.62798595	-0.44019008
chr6	83702293	0.0	2.224185	-2.224185	accessible_not_acetylated	0.06322646	0.82590795	0.003519535	0.33319116
chr7	55255669	1.609438	3.8332906	-2.2238526	accessible_not_acetylated	-0.95433354	0.617157	-0.34373617	0.16627431
chr21	38236507	0.0	2.2235725	-2.2235725	accessible_not_acetylated	-0.120717525	0.1126492	0.027677298	0.2012794
chr20	4998462	2.1972246	4.4204397	-2.223215	accessible_not_acetylated	-1.5344589	1.098053	0.06828642	0.10179472
chr20	62822943	0.6931472	2.9149463	-2.2217991	accessible_not_acetylated	-0.41726565	-0.09082723	-0.5511143	0.74574137
chr12	69053187	0.0	2.2196536	-2.2196536	accessible_not_acetylated	-0.23083508	0.60129976	0.18232894	0.23259807
chr17	7445286	0.6931472	2.9115632	-2.218416	accessible_not_acetylated	0.008296728	-0.95008826	-0.53465295	-0.75072885
chr12	52879895	1.3862944	3.6044347	-2.2181404	accessible_not_acetylated	-1.8943368	-0.7260816	-1.1439388	-1.3787034
chr7	37917101	1.3862944	3.6041431	-2.2178488	accessible_not_acetylated	-1.0073302	-0.72037506	-0.48777628	-0.4405799
chr6	81752607	2.7080503	4.9257	-2.21765	accessible_not_acetylated	-0.8244395	-0.6350646	-0.6936827	-0.8294883
chr18	11237682	0.6931472	2.9106517	-2.2175045	accessible_not_acetylated	-0.6901784	0.59456706	0.022681952	-0.11036563
chr12	102900669	1.0986123	3.3155384	-2.216926	accessible_not_acetylated	-0.13602376	0.8965001	-0.060564756	0.24800682
chr18	3877466	0.0	2.216377	-2.216377	accessible_not_acetylated	0.31334114	0.39433813	0.06648278	0.23529911
chr17	73164144	1.9459102	4.161689	-2.2157786	accessible_not_acetylated	-1.707506	0.7551842	0.1821146	0.27876043
chr10	93075765	0.0	2.2144732	-2.2144732	accessible_not_acetylated	0.8548391	0.108130455	-0.22140038	-0.32364178
chr10	130190333	1.0986123	3.3108704	-2.212258	accessible_not_acetylated	-1.5172267	-1.1949737	-1.537841	-1.8282868
chr6	41779975	1.9459102	4.157667	-2.211757	accessible_not_acetylated	0.17308235	-0.11240339	-0.86428905	-0.8545885
chr21	45556066	2.6390574	4.8505177	-2.2114604	accessible_not_acetylated	-2.2066407	-0.6418896	-0.6727915	-0.7940197
chr8	110038384	0.0	2.2113628	-2.2113628	accessible_not_acetylated	-0.27669692	0.51677155	-0.023617744	-0.044745922
chr7	82404184	0.0	2.2102134	-2.2102134	accessible_not_acetylated	0.54185486	0.37096143	0.15538788	0.3764987
chr7	94008725	0.0	2.2101884	-2.2101884	accessible_not_acetylated	0.20339179	1.3473954	0.0019340515	0.3053341
chr7	122747053	1.0986123	3.3087354	-2.210123	accessible_not_acetylated	-0.80376434	1.8232813	0.1219039	0.8716507
chr10	93379873	0.0	2.2095404	-2.2095404	accessible_not_acetylated	0.29252458	0.4099567	0.2932601	0.16718507
chr12	6827600	0.0	2.2074115	-2.2074115	accessible_not_acetylated	-0.24711251	-0.039170265	-0.35187912	-0.046158552
chr6	32445913	1.7917595	3.9985638	-2.2068043	accessible_not_acetylated	-1.773195	0.14861536	-0.14078736	-0.6816199
chr10	22932803	0.0	2.2055917	-2.2055917	accessible_not_acetylated	0.022159815	0.35754228	0.047122	0.07330561
chr10	29635899	1.9459102	4.1511545	-2.2052443	accessible_not_acetylated	-1.787878	0.6480732	-0.10058069	-0.23788834
chr12	13000312	0.6931472	2.8982418	-2.2050946	accessible_not_acetylated	0.9853358	-0.7926793	-0.71058846	-1.072046
chr22	19179014	2.9957323	5.1996884	-2.2039561	accessible_not_acetylated	-1.373538	-0.4217739	-0.5012913	-0.1366868
chr18	4320355	2.6390574	4.842239	-2.2031815	accessible_not_acetylated	-2.8129954	0.44275331	0.14139223	0.15578651
chr10	133336990	0.0	2.203091	-2.203091	accessible_not_acetylated	0.9425726	-0.60168266	-0.18707013	-0.8384534
chr10	75764428	0.6931472	2.8949955	-2.2018483	accessible_not_acetylated	-0.4183011	0.92504406	0.17680001	0.15509653
chr12	48980720	0.6931472	2.8944001	-2.201253	accessible_not_acetylated	1.440516	-0.51702094	-0.33176732	-0.6896782
chr18	4237121	2.0794415	4.2805047	-2.2010632	accessible_not_acetylated	-1.3312254	1.1725507	0.35529947	0.7754922
chr7	95596613	0.0	2.1997385	-2.1997385	accessible_not_acetylated	1.3464439	-0.6476017	-0.2997173	-1.1166877
chr6	138685492	0.0	2.1991932	-2.1991932	accessible_not_acetylated	0.094399214	0.2561977	0.0038616657	-0.06947994
chr17	21280229	0.0	2.1986227	-2.1986227	accessible_not_acetylated	-0.008743286	0.3982234	-0.39443493	-0.092547655
chr12	11500800	0.6931472	2.8914487	-2.1983016	accessible_not_acetylated	-0.9969487	-0.45722413	-0.7686007	-1.1637748
chr17	21368942	1.0986123	3.2963645	-2.1977522	accessible_not_acetylated	-0.93304086	0.35211158	-0.28324676	-0.45395708
chr6	43243679	0.0	2.1976864	-2.1976864	accessible_not_acetylated	0.7819762	-0.88909316	-0.5908959	-1.0078213
chr10	101032447	1.9459102	4.1435485	-2.1976383	accessible_not_acetylated	-0.78508806	0.5419183	-0.353127	-0.4836614
chr6	53427003	2.5649493	4.7607107	-2.1957614	accessible_not_acetylated	-1.8901207	1.0346289	0.24480152	0.8917661
chr7	27083834	0.6931472	2.8877053	-2.1945581	accessible_not_acetylated	-0.7612908	0.43211746	0.020515442	0.03402114
chr20	18985650	0.0	2.1945305	-2.1945305	accessible_not_acetylated	0.24559546	0.013461113	-0.05030203	-0.36031103
chr7	137847589	1.9459102	4.1401057	-2.1941955	accessible_not_acetylated	-0.8872411	0.5846453	-0.56099534	-0.058755398
chr18	1370768	0.0	2.1917984	-2.1917984	accessible_not_acetylated	0.15099764	0.6258197	0.07670808	-0.05717659
chr12	15670963	0.0	2.1914806	-2.1914806	accessible_not_acetylated	-0.7833067	0.68630457	0.027269125	0.26053143
chr6	14025314	0.0	2.1910563	-2.1910563	accessible_not_acetylated	0.69193316	0.5875454	-0.040799856	-0.127172
chr6	34056450	0.0	2.1897917	-2.1897917	accessible_not_acetylated	1.0405586	-0.27562308	-0.65701115	-0.7316413
chr7	5424064	1.3862944	3.5759487	-2.1896544	accessible_not_acetylated	-1.0208049	0.18641901	-0.738642	-0.1785686
chr22	25008826	0.0	2.1893425	-2.1893425	accessible_not_acetylated	0.42788053	0.5798545	0.14743328	-0.0838418
chr12	47904078	2.3025851	4.4913445	-2.1887593	accessible_not_acetylated	-1.5321832	1.0687618	-0.016387463	0.50061893
chr10	64731989	0.6931472	2.881852	-2.1887047	accessible_not_acetylated	0.44826412	0.6501868	0.024928808	0.15660167
chr22	28930953	1.0986123	3.2867765	-2.1881642	accessible_not_acetylated	-0.5358038	0.8865838	0.24729323	0.18578863
chr8	120732430	2.6390574	4.8258924	-2.186835	accessible_not_acetylated	-2.1159515	0.7351804	0.009391308	-0.066563606
chr17	2837382	0.0	2.1865568	-2.1865568	accessible_not_acetylated	-0.20231616	0.38272095	-0.16568327	-0.17914677
chr20	6940202	0.6931472	2.879545	-2.1863978	accessible_not_acetylated	-1.0955296	0.11259842	-0.15164018	-0.18759346
chr7	24572531	2.1972246	4.3832107	-2.185986	accessible_not_acetylated	-1.19486	0.021678448	-0.13247108	-0.3178668
chr17	66192235	1.609438	3.7952306	-2.1857927	accessible_not_acetylated	0.7772448	0.16032577	-0.36888647	-0.6717601
chr12	88932653	1.0986123	3.2832983	-2.184686	accessible_not_acetylated	-1.6678325	0.35669017	-0.07081294	-0.09493089
chr12	125186299	0.0	2.1846607	-2.1846607	accessible_not_acetylated	-1.0343943	-0.9633689	-1.1923558	-1.4506339
chr10	86367600	0.0	2.184637	-2.184637	accessible_not_acetylated	0.5248487	-0.92101526	-0.74792707	-1.1229782
chr6	52049666	0.0	2.1846178	-2.1846178	accessible_not_acetylated	-0.28808022	-0.33570552	-0.19685459	-0.26871824
chr12	98351855	2.0794415	4.26385	-2.1844087	accessible_not_acetylated	-1.188904	0.8849411	0.0043120384	0.066698074
chr17	49968565	0.6931472	2.876799	-2.183652	accessible_not_acetylated	1.5426145	-0.3584249	-0.49056315	-0.61220837
chr12	93571319	2.7725887	4.955158	-2.1825695	accessible_not_acetylated	-0.94713306	-0.016681671	-0.92489624	-0.6959481
chr17	18377704	0.0	2.1810782	-2.1810782	accessible_not_acetylated	-0.103838444	-0.44280648	-0.8525343	-0.6928201
chr8	38409836	2.7080503	4.889105	-2.1810546	accessible_not_acetylated	-2.0992754	0.7196703	-0.01962614	0.113900185
chr22	20429379	0.6931472	2.8740048	-2.1808577	accessible_not_acetylated	0.47884488	-0.93669236	-0.6562946	-0.94256866
chr17	75721348	1.0986123	3.2791183	-2.180506	accessible_not_acetylated	-0.92175937	-1.0895216	-1.4425817	-1.6619809
chr6	107490112	0.6931472	2.8729782	-2.179831	accessible_not_acetylated	0.0010938644	-0.91973996	-1.087493	-1.6250948
chr7	12403919	0.6931472	2.8723116	-2.1791644	accessible_not_acetylated	0.5987427	-0.36062098	-0.1657083	-0.36945462
chr8	22579108	1.0986123	3.2764294	-2.177817	accessible_not_acetylated	-2.2667508	-1.307256	-1.8822289	-1.8631837
chr7	43112435	1.3862944	3.5640588	-2.1777644	accessible_not_acetylated	-0.24932909	-0.2909274	-0.4495368	-0.94789934
chr8	101127045	2.0794415	4.2571774	-2.1777358	accessible_not_acetylated	-0.48885965	0.22416306	-0.5299947	-0.30943108
chr18	27378557	0.0	2.1773126	-2.1773126	accessible_not_acetylated	1.0522232	1.4974523	0.16197205	0.33135152
chr10	2792264	1.9459102	4.1231503	-2.1772401	accessible_not_acetylated	-2.41335	0.4706483	-0.0059022903	0.19477272
chr10	120456953	0.0	2.177064	-2.177064	accessible_not_acetylated	-0.6292472	-1.0369772	-1.1021388	-1.268861
chr12	54217148	2.6390574	4.8149786	-2.1759212	accessible_not_acetylated	-1.502428	0.7033448	0.18886662	0.4868965
chr20	63483218	0.0	2.1751058	-2.1751058	accessible_not_acetylated	0.17329264	-0.3074069	-0.6898565	-0.5728605
chr7	105769187	0.6931472	2.8682103	-2.1750631	accessible_not_acetylated	0.2810197	0.28739977	0.21419048	0.27018428
chr7	114758765	1.3862944	3.561153	-2.1748586	accessible_not_acetylated	-1.7842252	0.620976	0.014192104	0.32918715
chr17	81119663	0.6931472	2.8664079	-2.1732607	accessible_not_acetylated	1.2466526	-0.41776085	0.0864923	-0.3968222
chr7	156909096	0.0	2.173214	-2.173214	accessible_not_acetylated	0.30435753	0.77682734	-0.31940126	-0.042194843
chr12	6204675	0.6931472	2.866064	-2.172917	accessible_not_acetylated	-0.66657877	0.14237309	-0.09425545	-0.036387444
chr10	19816442	1.3862944	3.5588903	-2.172596	accessible_not_acetylated	0.04158449	-0.7406492	-1.048373	-1.5236192
chr7	95450623	1.3862944	3.558529	-2.1722345	accessible_not_acetylated	-0.14568257	1.3171463	0.05645156	0.42659688
chr10	18450450	1.0986123	3.270542	-2.1719296	accessible_not_acetylated	-0.8401611	0.66744137	-0.25495672	-0.35472894
chr10	83555471	0.0	2.1709688	-2.1709688	accessible_not_acetylated	-0.247365	1.695281	-0.0755105	0.44017148
chr12	113131658	0.0	2.1705246	-2.1705246	accessible_not_acetylated	0.0002875328	0.16924858	-0.20344257	-0.1363728
chr6	89434033	1.3862944	3.556591	-2.1702967	accessible_not_acetylated	0.1015861	0.60204315	-0.06334257	-0.10590601
chr17	8079420	0.6931472	2.8625755	-2.1694283	accessible_not_acetylated	-1.7482867	0.14341164	-0.90013075	-0.6585078
chr22	30252954	0.6931472	2.8612237	-2.1680765	accessible_not_acetylated	0.20564055	-0.37851477	-0.22615075	-0.19041395
chr20	21562854	1.0986123	3.2662885	-2.1676762	accessible_not_acetylated	-1.1367342	0.6966145	-0.15904021	-0.39674258
chr12	128969785	1.3862944	3.553149	-2.1668546	accessible_not_acetylated	-1.9241302	0.039220095	-0.8538172	-0.80987144
chr10	43105197	1.3862944	3.5526443	-2.16635	accessible_not_acetylated	-0.8780649	-0.029908895	-0.93119764	-0.8238137
chr17	27456207	2.3978953	4.5641127	-2.1662173	accessible_not_acetylated	-2.1825347	-0.6061897	-0.8763585	-1.1100831
chr8	118951992	2.6390574	4.8046274	-2.16557	accessible_not_acetylated	-1.0112536	0.6842351	-0.34622478	0.24596882
chr7	137754582	1.7917595	3.9570746	-2.1653152	accessible_not_acetylated	-1.8265772	0.9948087	-0.1089983	0.5734954
chr6	138691675	1.609438	3.7742448	-2.1648068	accessible_not_acetylated	-0.90250444	0.67495584	-0.033241987	0.15869188
chr17	75878689	1.7917595	3.9531639	-2.1614044	accessible_not_acetylated	-0.47135878	-0.4768374	-0.95151544	-0.6830647
chr10	77635095	0.0	2.1613083	-2.1613083	accessible_not_acetylated	0.28999043	0.32765102	-0.061156273	0.15726829
chr10	44911315	0.0	2.1610065	-2.1610065	accessible_not_acetylated	0.17200804	-0.36530054	-0.53352165	-0.47008502
chr20	5911327	0.0	2.1607707	-2.1607707	accessible_not_acetylated	1.2063982	-0.40149403	-0.22663987	-0.38394403
chr17	78231309	0.0	2.1603508	-2.1603508	accessible_not_acetylated	0.076195	-0.52964747	-0.7227869	-0.5513811
chr6	46501697	0.0	2.1602778	-2.1602778	accessible_not_acetylated	1.012538	0.7399821	0.70374537	0.4629798
chr7	39360095	1.609438	3.7695165	-2.1600785	accessible_not_acetylated	-1.4800382	0.29137754	-0.121963024	-0.6903205
chr7	5523195	2.3978953	4.557219	-2.1593237	accessible_not_acetylated	-2.1046417	-0.2672453	-0.17846537	-0.20372629
chr8	70068922	0.0	2.1592894	-2.1592894	accessible_not_acetylated	0.6415844	0.12726784	-0.1723491	0.055045366
chr20	19709858	0.0	2.1580646	-2.1580646	accessible_not_acetylated	0.23805094	0.6436615	0.17377281	0.0072135925
chr10	59005873	0.6931472	2.8508732	-2.157726	accessible_not_acetylated	-0.9489076	0.5251939	-0.14219403	-0.15570378
chr7	148620904	0.0	2.1571288	-2.1571288	accessible_not_acetylated	2.1860814	0.6450324	0.4682629	0.29176307
chr7	122751686	0.0	2.1567965	-2.1567965	accessible_not_acetylated	0.40274572	0.94334984	0.071912766	0.24014044
chr12	4399082	0.0	2.1565557	-2.1565557	accessible_not_acetylated	-0.08987212	-0.077795506	-0.35853052	-0.4704821
chr18	3772797	0.0	2.156242	-2.156242	accessible_not_acetylated	-0.49113655	0.1547544	-0.24816465	0.01532793
chr21	30718438	0.6931472	2.8487916	-2.1556444	accessible_not_acetylated	0.38756442	1.4923291	0.22549939	0.9301996
chr10	16189571	0.6931472	2.8487108	-2.1555636	accessible_not_acetylated	-0.581182	0.7184591	0.0018351078	0.09443283
chr22	46116627	0.6931472	2.8484063	-2.1552591	accessible_not_acetylated	-0.55401134	-0.3765521	-0.60826015	-0.46551657
chr17	1630160	2.3978953	4.5530515	-2.1551561	accessible_not_acetylated	-1.8965878	-0.55468416	-1.0827613	-0.98010945
chr18	4283978	1.3862944	3.5408854	-2.154591	accessible_not_acetylated	-1.1989977	0.6619735	-0.018843174	0.2062397
chr18	4385059	1.3862944	3.5407631	-2.1544688	accessible_not_acetylated	-1.6469536	1.0704057	-0.1068306	0.39352202
chr6	39615793	1.0986123	3.2521462	-2.153534	accessible_not_acetylated	-0.13612247	0.87148905	0.35496187	0.59685516
chr10	97850018	0.0	2.1534364	-2.1534364	accessible_not_acetylated	-0.35475433	-1.259433	-1.2602328	-1.8765619
chr10	106655384	1.0986123	3.2506022	-2.15199	accessible_not_acetylated	-1.5947305	0.09384465	-0.13899946	-0.18325543
chr17	44007057	2.5649493	4.716484	-2.1515348	accessible_not_acetylated	-1.7645979	-0.20968914	-0.8160348	-0.73833275
chr10	89929474	1.7917595	3.9429615	-2.151202	accessible_not_acetylated	-1.824702	1.1226733	0.021434784	0.072003126
chr8	38721524	0.6931472	2.8437083	-2.150561	accessible_not_acetylated	-0.044749737	0.23586941	0.20790148	0.05113864
chr6	77548692	2.6390574	4.7882257	-2.1491683	accessible_not_acetylated	-1.9678664	0.18577003	0.0384717	-0.06350231
chr17	60143072	0.6931472	2.8414717	-2.1483245	accessible_not_acetylated	-0.23230553	0.08710337	-0.09262943	-0.2135942
chr12	49804292	0.0	2.1471314	-2.1471314	accessible_not_acetylated	-0.03686881	0.13575912	-0.04371643	0.107941866
chr18	68992884	0.6931472	2.8397436	-2.1465964	accessible_not_acetylated	0.3578167	0.74911857	-0.009910345	-0.07708025
chr10	24865467	0.6931472	2.8397267	-2.1465795	accessible_not_acetylated	-0.5173874	0.3716669	0.033974886	0.33636737
chr10	49124562	0.0	2.1457546	-2.1457546	accessible_not_acetylated	-0.4095676	0.5833061	0.21720386	0.14867115
chr7	73770270	0.0	2.1457415	-2.1457415	accessible_not_acetylated	0.8976476	-0.9931569	-0.51991224	-1.1209613
chr22	37330863	0.6931472	2.8385549	-2.1454077	accessible_not_acetylated	-0.3611493	-0.21144867	-0.3473177	-0.40496016
chr18	63843163	0.0	2.1443322	-2.1443322	accessible_not_acetylated	-0.5090445	0.70311046	0.056974173	-0.17510962
chr17	30921754	1.3862944	3.5298817	-2.1435874	accessible_not_acetylated	-0.9242456	0.2107861	-0.35496426	-0.7659683
chr20	6715674	0.6931472	2.8355381	-2.142391	accessible_not_acetylated	-0.018763304	0.77455306	0.10962653	0.2897284
chr20	1467692	0.6931472	2.8349779	-2.1418307	accessible_not_acetylated	2.4843295	0.3598485	0.5072167	0.6460159
chr10	103838084	0.0	2.141449	-2.141449	accessible_not_acetylated	0.034257412	0.3575573	-0.013736248	-0.1260755
chr18	61893071	0.0	2.141032	-2.141032	accessible_not_acetylated	0.7173369	-0.049627542	-0.34000897	-0.7230959
chr7	150979100	1.3862944	3.526957	-2.1406627	accessible_not_acetylated	-0.0050365925	-0.54877186	-0.84252095	-1.2991247
chr17	2050257	1.7917595	3.9319272	-2.1401677	accessible_not_acetylated	-0.5517783	-0.9950433	-0.57396483	-0.22503257
chr7	155167951	0.0	2.1400757	-2.1400757	accessible_not_acetylated	-0.36520445	-0.2401532	-0.26620173	-0.12770963
chr6	108848519	0.6931472	2.8330798	-2.1399326	accessible_not_acetylated	0.7557659	0.13301516	-0.60246587	-0.8663751
chr18	34493317	1.0986123	3.237718	-2.1391058	accessible_not_acetylated	-1.7060735	-0.31446624	-0.8048847	-0.7757182
chr8	23218236	2.4849067	4.623858	-2.1389513	accessible_not_acetylated	-1.8882153	1.1999564	0.45142412	0.6037221
chr7	142535248	0.0	2.1380498	-2.1380498	accessible_not_acetylated	0.4610021	0.87932515	0.02057457	0.6118996
chr18	4157755	0.6931472	2.8310924	-2.1379452	accessible_not_acetylated	-0.8409201	0.9395511	0.3245721	0.5862534
chr22	18023922	1.9459102	4.0821586	-2.1362484	accessible_not_acetylated	-2.3421228	-0.30114317	-0.85313916	-0.5751996
chr8	130036935	1.0986123	3.2346764	-2.136064	accessible_not_acetylated	-1.0658846	1.5293579	-0.18099427	0.2433238
chr8	88284675	0.0	2.135922	-2.135922	accessible_not_acetylated	0.3590064	0.3711884	-0.04513192	0.0722599
chr12	56079599	1.3862944	3.5220404	-2.135746	accessible_not_acetylated	-0.78923345	0.38691616	-0.51075673	-0.6983855
chr17	81484565	1.609438	3.7451591	-2.1357212	accessible_not_acetylated	-0.7409682	-0.10722065	-0.734957	-0.71712637
chr6	146771120	0.0	2.1355772	-2.1355772	accessible_not_acetylated	1.105562	0.4159522	0.2602458	0.12319136
chr12	108769007	1.0986123	3.233926	-2.1353137	accessible_not_acetylated	-1.2707196	-0.40763783	-0.7294724	-0.8867018
chr17	34382055	1.0986123	3.233229	-2.1346166	accessible_not_acetylated	-1.2010596	1.0015504	-0.04522443	0.046729088
chr22	46537388	0.6931472	2.8274207	-2.1342735	accessible_not_acetylated	-1.528778	-1.5013105	-1.5210792	-1.4072422
chr18	22169436	0.0	2.1342413	-2.1342413	accessible_not_acetylated	1.2607493	-1.0937303	-0.74438906	-1.532783
chr18	7567315	0.6931472	2.8273242	-2.134177	accessible_not_acetylated	0.12232041	-0.984987	-0.94628394	-1.6847382
chr7	97272378	1.3862944	3.5199013	-2.133607	accessible_not_acetylated	-1.0917783	0.83452415	0.118729115	0.2227323
chr7	105024441	2.1972246	4.3301387	-2.132914	accessible_not_acetylated	-2.1975138	-0.3004217	-0.035565376	-0.6514559
chr12	98149454	1.7917595	3.924661	-2.1329014	accessible_not_acetylated	-0.5239296	1.0613849	0.39829755	1.0182722
chr6	75484780	1.0986123	3.231297	-2.1326847	accessible_not_acetylated	-0.88687205	0.37193894	-0.18521714	-0.23959541
chr8	136452441	0.0	2.1308627	-2.1308627	accessible_not_acetylated	0.26930857	0.49961638	-0.05188942	0.026147842
chr8	10887480	0.0	2.1299489	-2.1299489	accessible_not_acetylated	0.24390507	-0.028165102	-0.12229371	-0.13265848
chr8	54882909	0.0	2.1298158	-2.1298158	accessible_not_acetylated	0.86107635	0.4966898	0.22288704	0.2620523
chr6	83607183	0.0	2.128038	-2.128038	accessible_not_acetylated	0.22674131	0.06306934	-0.2396009	0.2666452
chr18	2847008	1.609438	3.7370355	-2.1275976	accessible_not_acetylated	-1.2540231	-0.4273522	-0.38268065	-0.98918366
