chr	center	observed_log	atac_pred_log	true_residual	class	sequence5p_residual	multimodal5p_residual	residual5p_residual
chr6	149923177	1.7917595	3.6669707	-1.8752112	accessible_not_acetylated	-0.60063267	-1.5242729	-0.9889345
chr22	50783652	2.4849067	4.360092	-1.8751855	accessible_not_acetylated	-0.0055093765	0.18136787	-0.25467634
chr21	46000838	1.3862944	3.260274	-1.8739796	accessible_not_acetylated	-1.1534476	-1.823261	-1.2688723
chr10	111087477	0.6931472	2.5665398	-1.8733926	accessible_not_acetylated	0.08998704	-0.021806955	-0.021558046
chr8	133455912	0.0	1.8729262	-1.8729262	accessible_not_acetylated	0.44073153	-0.10352206	-0.45400155
chr12	49274838	2.1972246	4.069944	-1.8727193	accessible_not_acetylated	-1.4828815	0.35295868	-0.006063938
chr7	31246	2.3025851	4.175166	-1.872581	accessible_not_acetylated	-1.4467316	0.1702013	-0.7271166
chr10	101217623	0.0	1.8723526	-1.8723526	accessible_not_acetylated	1.1115437	-0.7934587	-0.7496524
chr17	32079948	0.6931472	2.5654306	-1.8722835	accessible_not_acetylated	0.062440157	0.22427464	0.24305296
chr7	75147090	1.609438	3.4815507	-1.8721128	accessible_not_acetylated	-1.113513	-0.20768595	-0.28307843
chr6	138161920	0.6931472	2.565169	-1.8720219	accessible_not_acetylated	-0.06644201	-1.7341597	-1.1728585
chr17	81457826	0.0	1.8718421	-1.8718421	accessible_not_acetylated	0.68320155	-0.55288875	-0.8002145
chr7	44804070	1.7917595	3.6627817	-1.8710222	accessible_not_acetylated	-1.5407076	0.05521536	-0.10586238
chr7	5064571	0.0	1.8705927	-1.8705927	accessible_not_acetylated	-0.25425708	0.091792226	-0.021057248
chr8	79767999	3.713572	5.5841103	-1.8705382	accessible_not_acetylated	-3.2805915	-1.5019317	-1.0811696
chr12	66087571	0.0	1.869971	-1.869971	accessible_not_acetylated	0.01220715	-0.23827755	-0.3153522
chr20	3696408	0.0	1.869885	-1.869885	accessible_not_acetylated	0.20190573	-0.49063885	-0.36301184
chr6	3229755	2.7080503	4.577823	-1.8697729	accessible_not_acetylated	-1.2457595	-1.0467823	-0.48651886
chr8	144046141	2.3978953	4.266462	-1.8685665	accessible_not_acetylated	-2.3631196	-0.34168386	-0.9820645
chr7	36108154	1.0986123	2.9670923	-1.86848	accessible_not_acetylated	-0.06915164	-0.10050559	0.28572345
chr10	11823972	3.0445225	4.912099	-1.8675764	accessible_not_acetylated	-1.8681054	-0.9547951	-0.6693697
chr12	120663087	0.0	1.8673971	-1.8673971	accessible_not_acetylated	0.11605513	-0.085108876	-0.14770448
chr22	18936553	0.0	1.8660457	-1.8660457	accessible_not_acetylated	0.37525153	-1.0238268	-0.71460724
chr22	18110686	0.0	1.865865	-1.865865	accessible_not_acetylated	0.7765901	-0.8222414	-0.9418316
chr10	132185746	0.6931472	2.5587752	-1.865628	accessible_not_acetylated	-0.18039083	-1.50322	-0.907513
chr7	45099786	2.1972246	4.062461	-1.8652363	accessible_not_acetylated	-1.6800134	-0.2287674	-0.24419951
chr20	48621132	2.3025851	4.1674643	-1.8648791	accessible_not_acetylated	-1.6124349	-0.5526483	-0.8426945
chr12	26122625	1.0986123	2.963028	-1.8644156	accessible_not_acetylated	-0.6596582	-1.689033	-0.8322871
chr21	14216333	2.7080503	4.5722594	-1.8642092	accessible_not_acetylated	0.37740135	-0.2079215	-0.090283394
chr7	102512745	2.8332133	4.6963024	-1.8630891	accessible_not_acetylated	-2.457513	0.11733341	-0.6543684
chr17	32060885	1.7917595	3.6548405	-1.863081	accessible_not_acetylated	-1.3928554	-0.5259943	-0.20117354
chr22	24250815	0.0	1.8630347	-1.8630347	accessible_not_acetylated	0.9328363	-0.5842836	-0.42490125
chr20	63238660	0.6931472	2.55599	-1.8628428	accessible_not_acetylated	-0.26470852	-1.0364664	-0.8489158
chr7	138981449	1.609438	3.4717183	-1.8622804	accessible_not_acetylated	-0.5217173	-0.8683152	-0.85443306
chr21	44765824	2.3025851	4.1647553	-1.8621702	accessible_not_acetylated	-1.097116	-1.1501038	-0.4156351
chr20	45833801	2.4849067	4.3467135	-1.8618069	accessible_not_acetylated	-1.0726385	-2.0074384	-0.62849236
chr8	85463353	1.7917595	3.6535647	-1.8618052	accessible_not_acetylated	-0.78196025	-1.0779669	-0.75635266
chr10	46911395	0.6931472	2.554634	-1.8614869	accessible_not_acetylated	0.25033855	-1.2333304	-0.7401676
chr6	68719916	0.6931472	2.5543487	-1.8612015	accessible_not_acetylated	-1.0632653	0.29676437	-0.09205866
chr6	111534611	0.0	1.8603394	-1.8603394	accessible_not_acetylated	0.9873433	0.32416415	-0.100969315
chr12	109712311	1.7917595	3.651568	-1.8598084	accessible_not_acetylated	-0.5378876	-1.3020692	-0.24143219
chr10	38118326	0.0	1.8596904	-1.8596904	accessible_not_acetylated	-0.3817222	0.068362	0.08804226
chr6	167828461	4.0253515	5.88488	-1.8595285	accessible_not_acetylated	-2.668139	-0.42264748	-0.13386679
chr21	45211838	0.0	1.8589354	-1.8589354	accessible_not_acetylated	1.4396551	0.35158968	0.12953067
chr20	2729329	0.0	1.8588932	-1.8588932	accessible_not_acetylated	0.5397644	0.034464836	-0.019858003
chr10	75295220	2.9957323	4.8543525	-1.8586202	accessible_not_acetylated	-2.3469062	-0.80139256	-0.8503852
chr6	57944887	0.6931472	2.551093	-1.8579459	accessible_not_acetylated	-0.10491443	-0.13375783	-0.13786602
chr12	4269564	1.9459102	3.802825	-1.8569148	accessible_not_acetylated	1.7377005	-0.2653141	-0.521307
chr8	100916593	1.3862944	3.2430663	-1.856772	accessible_not_acetylated	-0.91443515	0.26330352	-0.16292286
chr17	38415595	3.8286414	5.6853857	-1.8567443	accessible_not_acetylated	-3.4580908	-0.9007487	-0.7102623
chr18	32018384	3.0910425	4.9473658	-1.8563232	accessible_not_acetylated	-2.306352	-0.49364662	-0.37833118
chr8	143496237	0.0	1.8543849	-1.8543849	accessible_not_acetylated	0.7681668	0.28612185	-0.050314903
chr17	68197400	0.6931472	2.5474505	-1.8543034	accessible_not_acetylated	0.6902602	-1.204417	-0.8300425
chr8	143771027	2.4849067	4.3388658	-1.8539591	accessible_not_acetylated	-1.6891634	-1.4975016	-1.1287427
chr17	75525486	3.3322046	5.1852646	-1.85306	accessible_not_acetylated	-1.6617897	-0.9430771	-0.94534206
chr10	79052454	1.0986123	2.9505029	-1.8518906	accessible_not_acetylated	-1.2370679	-0.7917228	-0.4674859
chr22	19033103	1.7917595	3.6425862	-1.8508267	accessible_not_acetylated	-1.1575336	0.17020798	-0.5498004
chr10	124544855	0.6931472	2.5438704	-1.8507233	accessible_not_acetylated	-0.47142744	-0.900782	-0.6488745
chr8	12601482	0.0	1.8496726	-1.8496726	accessible_not_acetylated	0.6583288	-0.26818013	-1.0310546
chr10	100879910	0.0	1.8495352	-1.8495352	accessible_not_acetylated	0.7511823	-0.32583702	-0.35671902
chr8	17577150	1.3862944	3.234194	-1.8478997	accessible_not_acetylated	-0.3349445	-1.7071741	-1.0726349
chr8	42153232	3.3672957	5.2143707	-1.847075	accessible_not_acetylated	-2.1335452	-1.4186351	-1.3710992
chr6	32982548	2.6390574	4.484365	-1.8453076	accessible_not_acetylated	-1.3669524	0.04461813	0.074447155
chr17	28041473	3.8501477	5.6947956	-1.8446479	accessible_not_acetylated	-2.1544356	-0.4545889	-0.6558385
chr8	144334365	1.0986123	2.9424958	-1.8438835	accessible_not_acetylated	-0.32572007	-1.1024318	-0.7609856
chr6	32072032	0.6931472	2.5363138	-1.8431666	accessible_not_acetylated	-0.027508259	-0.43037748	-0.04073119
chr7	19747951	0.0	1.8429385	-1.8429385	accessible_not_acetylated	0.4246968	-0.29135203	-0.1281147
chr20	5911490	1.7917595	3.634555	-1.8427956	accessible_not_acetylated	-0.13149667	-0.47787452	-0.17012572
chr12	125065393	3.1780539	5.020522	-1.8424683	accessible_not_acetylated	-1.1604586	-0.44424963	-0.74162436
chr6	144150896	2.8332133	4.675648	-1.8424349	accessible_not_acetylated	-1.5029767	-1.262285	-0.42605162
chr8	38140537	1.7917595	3.6334782	-1.8417187	accessible_not_acetylated	-1.2050767	-0.8220916	-0.40055513
chr20	61966187	1.0986123	2.9403193	-1.841707	accessible_not_acetylated	-0.5259588	-1.2563593	-0.8936393
chr8	27614811	2.4849067	4.326419	-1.8415122	accessible_not_acetylated	-1.4334757	-0.2484932	0.10236645
chr17	1342813	1.0986123	2.9395137	-1.8409014	accessible_not_acetylated	0.26725745	-0.0721426	0.004543543
chr7	149355763	2.0794415	3.9201598	-1.8407183	accessible_not_acetylated	-1.0120356	-0.24803305	-0.08362508
chr12	132602693	1.3862944	3.2269187	-1.8406243	accessible_not_acetylated	0.11581087	0.30267477	-0.11208916
chr10	61001506	2.6390574	4.4793553	-1.8402979	accessible_not_acetylated	-1.9977069	-1.8658986	-0.8500962
chr6	38570983	0.0	1.8393996	-1.8393996	accessible_not_acetylated	-0.25803208	-0.23991036	-0.16877258
chr7	66664903	1.3862944	3.225084	-1.8387897	accessible_not_acetylated	-0.6528568	-0.64091754	-0.43326163
chr12	131311407	0.6931472	2.5315962	-1.838449	accessible_not_acetylated	0.09927559	-0.16943645	-0.15245318
chr6	29632568	4.158883	5.9954796	-1.8365965	accessible_not_acetylated	-3.2302623	-1.71485	-1.2566242
chr20	22379671	0.0	1.8362	-1.8362	accessible_not_acetylated	0.40709734	-0.013771296	0.24514079
chr21	45555921	3.4339871	5.2692523	-1.8352652	accessible_not_acetylated	-2.8839626	-1.1013303	-0.53228855
chr8	94262216	1.3862944	3.2208781	-1.8345838	accessible_not_acetylated	0.17830682	-0.5949266	-0.0990994
chr7	101165607	1.9459102	3.779862	-1.8339517	accessible_not_acetylated	1.1796122	0.24063969	-0.37689185
chr10	87435493	3.218876	5.0526323	-1.8337564	accessible_not_acetylated	-2.6898456	0.061879158	0.21427536
chr17	19142630	0.6931472	2.5269008	-1.8337536	accessible_not_acetylated	0.17580724	0.087884426	-0.17612076
chr17	41812086	2.5649493	4.398284	-1.8333347	accessible_not_acetylated	-1.0924163	-1.6516552	-0.86932516
chr21	26170823	0.6931472	2.5258338	-1.8326867	accessible_not_acetylated	1.3013484	-1.4078642	-0.76585126
chr12	95551523	0.6931472	2.525037	-1.8318899	accessible_not_acetylated	0.017893076	-0.11061978	-0.21295357
chr6	151112331	0.6931472	2.5248654	-1.8317182	accessible_not_acetylated	0.25801015	0.06438589	0.13684916
chr7	31052460	0.0	1.831207	-1.831207	accessible_not_acetylated	0.71353674	-1.278873	-1.2578627
chr7	140672265	2.1972246	4.027774	-1.8305492	accessible_not_acetylated	-0.5244217	-0.520895	-0.21229506
chr6	43455645	2.3978953	4.22826	-1.8303647	accessible_not_acetylated	-1.292098	-1.3155296	-1.2312646
chr20	45101117	1.0986123	2.928973	-1.8303607	accessible_not_acetylated	0.13683891	-0.71785975	-0.33711076
chr7	16452845	1.0986123	2.9289212	-1.8303089	accessible_not_acetylated	-1.3773571	-0.122713566	-0.115805864
chr22	20278796	1.7917595	3.6218677	-1.8301082	accessible_not_acetylated	-2.2579603	-1.1481404	-0.9160893
chr8	97597969	0.6931472	2.5231678	-1.8300207	accessible_not_acetylated	0.54260254	0.018674374	-0.10431647
chr6	149089714	0.0	1.8292313	-1.8292313	accessible_not_acetylated	0.5351355	-0.088165045	-0.15058029
chr20	63544621	1.609438	3.438225	-1.8287871	accessible_not_acetylated	-1.3192437	-0.99564433	-0.70835805
chr17	46244448	1.609438	3.43754	-1.8281021	accessible_not_acetylated	0.6822586	-0.6342912	0.018991232
chr20	35601705	2.4849067	4.312529	-1.8276224	accessible_not_acetylated	-1.3094618	-1.2630272	-1.0666554
chr10	102461940	2.6390574	4.4665885	-1.8275311	accessible_not_acetylated	-1.7835786	-1.0211873	-0.43707657
chr10	79780747	3.295837	5.1225085	-1.8266716	accessible_not_acetylated	-2.6600637	0.8439832	0.10418177
chr22	23156933	3.5263605	5.3528237	-1.8264632	accessible_not_acetylated	-2.9069974	-1.1514792	-0.43323183
chr7	151167648	1.609438	3.435614	-1.8261762	accessible_not_acetylated	-0.3205371	-1.7634163	-1.4972376
chr6	147217113	2.8903718	4.716535	-1.8261633	accessible_not_acetylated	-2.9252808	-0.74640894	-0.13312674
chr12	125533640	0.0	1.8257278	-1.8257278	accessible_not_acetylated	-0.2874037	-0.15417027	-0.4892987
chr22	44668617	0.6931472	2.5188112	-1.825664	accessible_not_acetylated	0.5711961	-1.1296109	-0.95485353
chr8	27323935	2.3978953	4.2234554	-1.8255601	accessible_not_acetylated	-1.9797223	-0.2212925	0.20387697
chr12	119988724	2.7080503	4.5335245	-1.8254743	accessible_not_acetylated	-0.71683145	-0.3858471	-0.48399782
chr17	29567778	3.5263605	5.3517838	-1.8254232	accessible_not_acetylated	-1.042695	-0.88323164	-0.68662786
chr8	37640356	0.0	1.8251467	-1.8251467	accessible_not_acetylated	1.5225849	0.11389828	-0.015373588
chr10	34815585	1.3862944	3.2114089	-1.8251145	accessible_not_acetylated	-1.0008616	-1.0292494	-1.0345228
chr22	43388503	0.0	1.8250383	-1.8250383	accessible_not_acetylated	-0.22192514	-0.519416	-0.6404387
chr18	70490556	0.0	1.8249472	-1.8249472	accessible_not_acetylated	0.13810575	-0.07158303	-0.123981476
chr6	164742168	0.0	1.8248112	-1.8248112	accessible_not_acetylated	0.21693039	-0.4892013	-0.33483624
chr8	7397960	0.0	1.8245106	-1.8245106	accessible_not_acetylated	2.2829194	0.19505215	-0.06442976
chr20	64091952	0.6931472	2.516596	-1.8234489	accessible_not_acetylated	0.11918306	-0.1671629	-0.48249745
chr8	144045200	1.9459102	3.7688746	-1.8229644	accessible_not_acetylated	-1.8145851	-0.85784554	-0.55230045
chr6	167846005	2.6390574	4.4618998	-1.8228424	accessible_not_acetylated	-1.851785	-0.23270512	-0.054479122
chr6	160348372	0.0	1.8219714	-1.8219714	accessible_not_acetylated	1.0908277	-1.18081	-1.18624
chr7	63900767	2.0794415	3.901223	-1.8217814	accessible_not_acetylated	-0.14703012	-1.0793087	0.18897176
chr8	142447664	0.0	1.8217354	-1.8217354	accessible_not_acetylated	0.15327895	-0.41257644	-0.49833322
chr8	19013717	1.0986123	2.9191833	-1.820571	accessible_not_acetylated	1.1257386	-1.8078489	-0.9881935
chr7	50721376	0.6931472	2.5115423	-1.8183951	accessible_not_acetylated	0.2601285	-0.16951036	-0.050330162
chr10	46441162	0.6931472	2.5113199	-1.8181727	accessible_not_acetylated	-0.44190717	-0.11341214	-0.09334755
chr12	63668574	0.0	1.8181725	-1.8181725	accessible_not_acetylated	1.0803232	-0.7902106	-0.33618343
chr20	1777400	0.6931472	2.511106	-1.8179588	accessible_not_acetylated	0.5825057	-0.9113126	-0.3550346
chr10	102231816	1.9459102	3.7637153	-1.817805	accessible_not_acetylated	-1.2519064	-1.0569584	-0.97334695
chr17	80035976	1.3862944	3.203701	-1.8174067	accessible_not_acetylated	0.008598328	-0.7829237	-0.46061206
chr10	122112808	0.6931472	2.510059	-1.8169119	accessible_not_acetylated	0.13896465	-1.2161533	-0.2504611
chr6	73855175	0.0	1.8165991	-1.8165991	accessible_not_acetylated	0.22950315	-0.39313698	-0.07647514
chr22	30755573	0.6931472	2.5085883	-1.8154411	accessible_not_acetylated	-0.26064563	-0.39214182	-0.2109673
chr22	19757011	3.1354942	4.9503145	-1.8148203	accessible_not_acetylated	-1.4142411	-0.5265784	-0.7821317
chr17	81952296	0.6931472	2.507554	-1.8144069	accessible_not_acetylated	-0.85042024	-0.45200014	-0.37714624
chr7	143737222	2.4849067	4.2980375	-1.8131309	accessible_not_acetylated	-2.1861742	-0.33685446	-0.1446433
chr6	42144951	0.0	1.8131099	-1.8131099	accessible_not_acetylated	-0.4088478	-0.73074937	-0.55180514
chr8	142545734	1.0986123	2.9114747	-1.8128624	accessible_not_acetylated	-0.12536693	-0.36915636	-0.5195489
chr7	50561071	0.6931472	2.5058444	-1.8126972	accessible_not_acetylated	0.020506382	-0.5020988	-0.38963866
chr8	545696	1.0986123	2.9108703	-1.812258	accessible_not_acetylated	2.6166966	0.063705444	-0.6692507
chr20	2752345	1.609438	3.4216568	-1.8122189	accessible_not_acetylated	-0.818362	-1.9270148	-0.90100646
chr10	6737381	0.0	1.8119569	-1.8119569	accessible_not_acetylated	0.17086053	-0.30309844	-0.33266163
chr12	131592410	1.9459102	3.7577448	-1.8118346	accessible_not_acetylated	-1.1542633	-1.0558262	-0.46397614
chr6	127516873	0.6931472	2.5044632	-1.811316	accessible_not_acetylated	-0.07300925	-0.70637393	-0.41548252
chr6	152268445	0.0	1.810823	-1.810823	accessible_not_acetylated	0.36780357	-0.55253434	-0.33986032
chr7	44802840	1.9459102	3.75665	-1.8107398	accessible_not_acetylated	-1.2138205	0.3538084	-0.09553027
chr12	49346864	2.8903718	4.700578	-1.8102064	accessible_not_acetylated	-1.3875146	-1.0031934	-0.6426439
chr6	32086818	0.6931472	2.5032413	-1.8100941	accessible_not_acetylated	0.5660846	0.1887722	-0.33806634
chr22	17275640	0.6931472	2.5032182	-1.810071	accessible_not_acetylated	-0.092532635	-0.712626	-0.5812131
chr12	118064703	2.4849067	4.294427	-1.8095202	accessible_not_acetylated	-1.5414224	-0.07433033	0.14649868
chr22	20310906	1.7917595	3.6011739	-1.8094144	accessible_not_acetylated	-0.37087584	-0.46766853	-0.36183906
chr8	56202410	0.0	1.8092952	-1.8092952	accessible_not_acetylated	0.6838982	-0.08329034	-0.012542725
chr12	117856790	0.0	1.8091993	-1.8091993	accessible_not_acetylated	0.65614367	-0.106040835	0.02153778
chr8	144336281	1.0986123	2.90767	-1.8090577	accessible_not_acetylated	0.28820777	-1.5179536	-0.6789694
chr7	5283019	1.0986123	2.90711	-1.8084977	accessible_not_acetylated	-1.5502115	-1.1869206	-0.90655756
chr21	26849631	0.0	1.8081479	-1.8081479	accessible_not_acetylated	0.88780737	-0.06522441	0.1830467
chr7	148804550	2.5649493	4.3729224	-1.8079731	accessible_not_acetylated	-2.0161812	-0.3755064	-0.23011827
chr6	57961474	2.8332133	4.6408443	-1.807631	accessible_not_acetylated	-0.16319036	-0.6245723	-0.5091915
chr20	64107575	0.6931472	2.5002704	-1.8071232	accessible_not_acetylated	0.03882599	-0.14028144	-0.28803253
chr17	45620396	1.3862944	3.1931744	-1.80688	accessible_not_acetylated	-1.37555	-0.24968767	-0.5840664
chr7	75442548	3.295837	5.1022778	-1.8064408	accessible_not_acetylated	-0.07003784	0.30773067	-0.053572178
chr18	9959145	2.5649493	4.3708434	-1.8058941	accessible_not_acetylated	-1.7751434	-0.44747424	0.106591225
chr22	24424105	1.3862944	3.1914093	-1.805115	accessible_not_acetylated	-0.0053446293	-1.707666	-1.0592339
chr6	89148250	0.0	1.8049932	-1.8049932	accessible_not_acetylated	1.1903374	-0.4786992	-0.39695096
chr6	149249056	1.3862944	3.1912384	-1.804944	accessible_not_acetylated	-0.52504134	-0.67987704	0.17001653
chr20	2207702	0.0	1.8048639	-1.8048639	accessible_not_acetylated	1.894942	-0.71657085	-0.3048525
chr12	76879041	3.0445225	4.848842	-1.8043196	accessible_not_acetylated	-1.1731565	-0.5100889	-0.9183645
chr17	74859901	0.6931472	2.4966054	-1.8034582	accessible_not_acetylated	-0.16302443	-1.0692142	-0.7612047
chr8	93916821	2.944439	4.747681	-1.8032422	accessible_not_acetylated	-0.83261514	-0.9171939	-0.3126936
chr7	1374607	0.6931472	2.4962635	-1.8031163	accessible_not_acetylated	0.3580823	-0.6510527	-0.41276193
chr8	132561479	0.0	1.8021839	-1.8021839	accessible_not_acetylated	0.76690984	0.34877753	0.3020711
chr17	20843975	0.0	1.8019993	-1.8019993	accessible_not_acetylated	0.5867274	-0.3633442	-0.9638569
chr6	149863478	2.6390574	4.4409175	-1.8018601	accessible_not_acetylated	-1.1792793	-0.87177587	-1.0024717
chr10	43354443	1.0986123	2.9002678	-1.8016555	accessible_not_acetylated	-0.14329457	-0.16047168	-0.07917333
chr20	23689025	0.0	1.8013246	-1.8013246	accessible_not_acetylated	0.44855165	-0.2518282	-0.25365365
chr6	96626967	0.0	1.8004045	-1.8004045	accessible_not_acetylated	0.1574862	-0.55796874	-0.29171586
chr6	3457179	3.0910425	4.891009	-1.7999663	accessible_not_acetylated	-2.600742	-1.3563783	-1.3348153
chr20	30688227	1.0986123	2.8980606	-1.7994483	accessible_not_acetylated	-0.6715579	-1.4904335	0.16773605
chr22	37569566	1.7917595	3.5910792	-1.7993197	accessible_not_acetylated	-0.06369758	1.3434644	0.11186719
chr17	60143059	2.0794415	3.8779912	-1.7985497	accessible_not_acetylated	-1.2498479	-0.87844133	-0.0807209
chr6	169164661	0.0	1.7979552	-1.7979552	accessible_not_acetylated	0.16600096	-0.38615096	-0.33951843
chr10	77927095	3.1354942	4.9325705	-1.7970762	accessible_not_acetylated	-2.5251894	-1.0635982	-0.5476999
chr6	7542447	0.6931472	2.4901786	-1.7970314	accessible_not_acetylated	2.051969	-1.3521106	-0.66563463
chr6	4156053	1.0986123	2.8952637	-1.7966514	accessible_not_acetylated	-0.105789185	0.036387205	-0.19459105
chr10	101030010	1.3862944	3.1825209	-1.7962265	accessible_not_acetylated	-0.17756176	-0.98589754	-0.21130013
chr8	133453512	1.3862944	3.1822557	-1.7959614	accessible_not_acetylated	-0.6482794	-1.3479838	-0.40051055
chr6	32087767	1.609438	3.404636	-1.795198	accessible_not_acetylated	-0.76565266	-1.059201	-1.3832698
chr7	121303774	2.0794415	3.8742406	-1.7947991	accessible_not_acetylated	-1.3226993	-0.41561723	-0.11189675
chr21	21184971	3.1780539	4.972839	-1.794785	accessible_not_acetylated	-3.0816033	-0.6954622	-0.16996431
chr7	129825482	3.3322046	5.1259494	-1.7937448	accessible_not_acetylated	-2.6885629	-0.8437605	-0.867115
chr7	100656452	1.3862944	3.1800246	-1.7937303	accessible_not_acetylated	1.2515483	-0.66539097	-0.7944951
chr10	76606	0.6931472	2.4867043	-1.7935572	accessible_not_acetylated	0.5493727	-0.42111206	-0.28402925
chr12	77324873	0.6931472	2.4866948	-1.7935476	accessible_not_acetylated	0.46815372	-0.7321209	-0.45680094
chr6	138986799	2.6390574	4.4319453	-1.7928879	accessible_not_acetylated	-0.8633363	-0.27595377	0.13299084
chr17	979893	2.1972246	3.9895363	-1.7923117	accessible_not_acetylated	-0.15561485	-1.5349283	-0.54695916
chr12	49972317	0.6931472	2.485433	-1.7922859	accessible_not_acetylated	-0.20743108	-0.21995115	-0.06599069
chr10	58149137	0.0	1.7921075	-1.7921075	accessible_not_acetylated	0.4123832	-0.21743643	-0.33051598
chr17	49899322	0.0	1.7917242	-1.7917242	accessible_not_acetylated	0.3063016	-0.28220057	-0.22868812
chr7	87160693	1.7917595	3.5828893	-1.7911298	accessible_not_acetylated	-0.64607406	0.32956862	0.07936144
chr17	76027452	0.6931472	2.483754	-1.7906067	accessible_not_acetylated	-0.5062003	-1.0673536	-0.7789006
chr17	9240190	1.9459102	3.7362814	-1.7903712	accessible_not_acetylated	-0.8995178	-1.3564684	-0.852443
chr7	139232381	3.1780539	4.9682302	-1.7901764	accessible_not_acetylated	-2.4641013	-0.696228	-0.61229134
chr17	49324699	0.0	1.7895751	-1.7895751	accessible_not_acetylated	0.6044235	0.043765187	-0.113456726
chr17	8124092	1.3862944	3.175221	-1.7889266	accessible_not_acetylated	0.22900414	-0.27107334	-0.38187504
chr6	79822064	0.0	1.7887342	-1.7887342	accessible_not_acetylated	1.804635	0.10543394	0.7513876
chr22	23979828	0.0	1.7883984	-1.7883984	accessible_not_acetylated	1.5315813	-0.6165954	-0.7564008
chr20	40741702	0.0	1.7881706	-1.7881706	accessible_not_acetylated	0.3895936	0.13891363	-0.23121607
chr6	163616651	0.6931472	2.481034	-1.7878869	accessible_not_acetylated	-0.34381294	-0.024979591	0.10088444
chr12	107318393	2.3978953	4.1852555	-1.7873602	accessible_not_acetylated	-1.7470443	-1.0248742	-1.0572176
chr12	94100475	3.5553482	5.342463	-1.7871149	accessible_not_acetylated	-2.430026	1.0447183	0.57556915
chr6	35409437	0.6931472	2.479635	-1.7864878	accessible_not_acetylated	-0.05426359	-0.3432281	0.010984421
chr6	42890478	2.3025851	4.088395	-1.78581	accessible_not_acetylated	-0.27797198	-0.05978346	-0.03361702
chr21	41767089	0.0	1.7856264	-1.7856264	accessible_not_acetylated	2.739317	-0.9304187	-0.53542984
chr8	37796337	1.9459102	3.731363	-1.7854528	accessible_not_acetylated	-0.9587734	-0.4774475	-0.2526636
chr12	131836429	1.0986123	2.8839827	-1.7853703	accessible_not_acetylated	-1.335981	-0.56481886	-0.5363598
chr7	74406293	1.0986123	2.882654	-1.7840416	accessible_not_acetylated	-0.22987866	-0.6864245	-0.27194858
chr6	125314305	0.6931472	2.47654	-1.7833929	accessible_not_acetylated	-0.20667005	-0.66311026	-0.018841982
chr8	55845327	2.0794415	3.8622544	-1.7828128	accessible_not_acetylated	-1.199189	0.10341668	-0.13402247
chr7	44096711	0.6931472	2.4744396	-1.7812924	accessible_not_acetylated	-0.21083164	-0.4613576	-0.4361341
chr10	114239253	0.0	1.7801967	-1.7801967	accessible_not_acetylated	0.19494987	-1.0104027	-0.745137
chr7	151876018	1.3862944	3.1663313	-1.7800369	accessible_not_acetylated	0.022542953	-1.942959	-1.0367498
chr20	3248857	1.3862944	3.1657705	-1.7794762	accessible_not_acetylated	-0.25298238	-1.2364848	-0.46465564
chr12	127162497	3.1354942	4.9129796	-1.7774854	accessible_not_acetylated	-2.7258377	-0.28399038	-0.09930372
chr12	78073	2.6390574	4.416473	-1.7774155	accessible_not_acetylated	-0.59050965	-1.1514692	-0.75057745
chr8	66177040	1.3862944	3.163529	-1.7772346	accessible_not_acetylated	-0.59224725	-1.5762937	-0.8544874
chr10	8054703	0.6931472	2.4697561	-1.776609	accessible_not_acetylated	0.89229846	-1.2459761	-0.5667057
chr7	139758580	0.0	1.7762779	-1.7762779	accessible_not_acetylated	1.0533816	-0.05656445	-0.22296333
chr10	44959552	2.5649493	4.3411574	-1.7762082	accessible_not_acetylated	-0.9533851	-1.0389233	-0.8291552
chr20	62954155	1.0986123	2.8747394	-1.7761271	accessible_not_acetylated	0.39732575	-0.91171813	-0.5133076
chr18	36491139	0.6931472	2.467793	-1.7746458	accessible_not_acetylated	0.4767418	0.22422457	0.5216687
chr7	1204031	0.0	1.7738887	-1.7738887	accessible_not_acetylated	0.41305864	-0.6237788	-0.512174
chr7	74405457	1.7917595	3.5652473	-1.7734878	accessible_not_acetylated	-1.4809008	-1.2237103	-0.85112786
chr12	102522951	0.0	1.7731842	-1.7731842	accessible_not_acetylated	1.0694894	0.5267607	0.1650765
chr10	79066571	3.0910425	4.8640237	-1.7729812	accessible_not_acetylated	-1.94151	-1.0191483	-0.5038934
chr12	48980921	1.609438	3.3821259	-1.7726879	accessible_not_acetylated	0.2787459	-1.2687113	-0.5325942
chr8	105906612	0.0	1.7721078	-1.7721078	accessible_not_acetylated	-0.85952544	-0.81684744	-0.44468057
chr7	25196662	0.0	1.7719293	-1.7719293	accessible_not_acetylated	1.1521604	0.05790615	0.17695487
chr12	22684744	0.0	1.7716975	-1.7716975	accessible_not_acetylated	-0.16501105	-0.1753887	-0.118504405
chr12	53470086	1.3862944	3.157855	-1.7715607	accessible_not_acetylated	-0.8658693	0.12225151	-0.33058786
chr17	19648870	1.3862944	3.1575851	-1.7712908	accessible_not_acetylated	0.5932417	-1.3175489	-0.83281493
chr12	122843009	1.0986123	2.8690891	-1.7704768	accessible_not_acetylated	-1.0984093	-0.769083	-0.47873068
chr6	32005581	0.0	1.7702432	-1.7702432	accessible_not_acetylated	0.74463177	-0.18626046	-0.21871758
chr8	81834306	0.6931472	2.463056	-1.7699089	accessible_not_acetylated	0.015158415	-0.1074512	0.04006028
